sleep_hours,phone_usage_hours,study_hours_per_day,productivity_score
8.24,5.9,2.39,50.18
5.5,11.08,9.42,56.71
5.06,11.86,6.99,58.87
8.0,10.92,9.51,72.82
4.78,8.94,2.42,17.82
6.14,5.45,8.76,55.27
4.12,2.0,6.85,54.76
4.78,10.5,5.75,39.49
3.69,8.74,8.29,46.21
5.99,2.02,6.51,70.71
9.49,1.51,6.86,72.47
3.71,8.25,2.91,38.44
6.06,10.92,8.26,46.21
5.09,2.96,6.68,56.07
5.54,5.24,8.52,49.37
8.4,11.59,3.84,56.8
6.05,11.38,3.65,21.91
7.55,8.54,0.73,28.84
9.81,5.95,7.8,71.71
7.32,4.79,3.64,50.89
5.36,5.0,3.61,43.8
5.78,6.31,7.04,66.98
7.87,8.41,2.9,52.09
7.86,6.38,9.14,62.61
5.58,3.14,5.61,45.94
8.07,9.16,9.71,70.43
6.85,5.71,1.23,28.43
9.86,7.09,3.7,67.11
9.36,9.42,4.12,46.33
8.77,4.92,7.44,70.94
3.24,11.19,2.52,19.66
5.66,6.37,4.07,57.37
7.01,8.59,9.15,70.29
6.65,9.18,1.59,23.0
8.34,4.69,7.58,61.96
9.36,3.47,7.17,70.91
8.51,11.12,1.74,40.11
4.54,4.11,7.04,49.24
6.4,1.76,5.91,49.41
5.76,6.2,3.23,33.8
8.36,9.98,3.46,35.07
9.27,3.74,8.41,78.08
5.01,6.18,2.69,39.51
6.42,4.66,5.37,45.43
8.12,0.78,6.97,59.16
3.35,2.08,1.73,23.03
9.74,9.67,9.36,69.76
8.6,11.25,2.98,39.11
6.8,0.55,3.53,55.59
8.45,10.4,6.83,49.65
8.85,8.82,1.24,32.62
6.46,8.38,6.46,47.27
6.08,5.45,9.2,61.4
8.86,4.31,2.87,52.29
9.02,5.22,3.94,54.56
3.87,7.42,2.71,30.24
9.35,11.39,8.28,61.42
4.94,2.88,2.09,42.53
7.67,11.7,3.79,28.25
7.97,3.18,6.21,61.43
4.96,10.23,4.34,32.77
5.13,8.09,1.12,14.46
7.94,9.07,9.5,66.42
4.23,10.06,3.71,16.53
9.01,0.64,4.73,60.56
4.56,8.83,2.09,25.33
5.46,11.95,8.72,52.96
4.87,6.19,3.27,42.44
4.72,6.73,0.69,19.31
9.85,1.72,3.51,61.4
4.77,4.42,9.85,62.17
7.05,7.54,1.9,44.58
8.22,1.88,0.8,37.55
3.29,4.33,5.99,38.12
9.17,4.5,4.03,52.04
4.07,9.85,8.05,54.7
7.12,6.68,7.45,51.19
7.49,6.88,2.26,35.18
7.41,3.75,5.86,63.74
8.13,4.1,0.81,30.77
9.52,5.69,4.68,41.38
9.49,9.89,7.28,60.85
7.05,4.14,4.44,56.12
5.59,4.2,1.62,41.54
5.25,7.04,1.08,25.2
9.21,10.16,8.61,68.95
8.97,6.29,8.97,64.17
5.07,1.98,3.76,59.61
4.07,11.03,2.06,28.7
9.03,5.92,9.8,80.82
7.26,9.4,5.69,53.71
5.19,1.0,5.03,42.76
7.27,10.12,7.55,60.54
3.46,1.17,2.1,39.08
4.33,11.63,6.01,33.46
6.82,10.74,8.96,64.45
6.77,3.57,0.72,40.52
4.73,3.07,6.89,59.21
9.87,9.51,5.74,61.31
5.89,2.24,9.53,79.06
7.96,10.49,2.96,31.86
4.81,0.87,8.66,66.93
5.97,7.99,3.44,40.04
8.82,3.49,4.58,43.42
8.94,10.19,2.53,39.23
3.95,4.84,8.7,55.99
5.48,5.48,2.36,43.96
4.42,2.17,8.66,50.72
9.23,7.7,4.83,55.82
8.28,5.91,8.43,73.31
6.94,0.6,3.01,56.31
7.55,8.9,1.76,36.14
9.4,1.97,5.77,60.87
5.12,6.55,5.34,50.12
3.1,6.7,3.89,40.8
3.18,3.94,6.8,51.79
3.33,3.13,1.4,23.7
3.9,4.08,6.41,46.36
7.0,5.08,2.51,42.92
9.87,11.24,1.73,25.16
5.94,8.2,9.14,49.33
7.99,11.6,4.87,29.35
8.55,1.48,7.75,74.37
8.61,1.02,1.35,62.42
6.1,1.17,1.05,27.27
6.85,10.38,5.2,42.88
5.3,10.09,3.5,41.2
7.82,5.54,0.55,30.88
5.68,5.51,2.24,31.27
5.18,5.42,2.58,45.59
7.39,11.36,3.24,36.01
5.39,3.51,8.84,66.15
5.86,8.76,4.5,56.49
7.98,1.76,6.95,62.53
8.97,3.51,0.67,49.53
6.04,7.38,8.23,56.53
6.66,7.37,2.78,38.79
8.22,6.87,3.44,38.11
4.57,1.92,0.93,33.96
5.91,9.18,4.39,33.11
8.68,8.68,8.6,73.95
9.26,8.33,4.1,56.0
7.51,1.99,9.13,69.92
5.75,3.04,8.74,66.04
7.24,10.97,1.09,28.31
4.25,6.05,3.4,32.26
3.21,5.31,9.15,48.73
3.52,10.53,0.78,30.52
3.76,3.89,7.78,56.28
4.58,10.0,9.11,60.96
6.23,5.58,7.82,62.47
4.63,7.65,7.57,61.11
7.1,4.7,8.51,68.18
9.99,11.04,6.83,59.06
6.49,1.72,4.52,47.03
8.3,3.0,1.1,48.93
5.05,2.83,7.99,76.53
9.74,3.49,9.1,88.33
4.74,5.73,5.36,43.16
7.18,1.84,5.56,54.45
9.88,0.95,4.33,74.26
8.66,7.01,8.64,74.25
9.94,6.27,0.64,41.33
5.66,4.42,6.43,50.72
3.54,2.46,9.12,60.52
4.7,1.85,1.48,43.6
9.7,10.72,9.61,68.71
5.59,5.5,9.69,73.01
3.87,11.45,9.33,52.05
7.15,4.24,4.89,65.23
6.5,7.55,4.14,47.38
3.44,7.03,7.21,38.21
6.17,2.37,3.53,39.99
7.43,6.18,1.15,37.26
4.63,6.07,9.06,53.57
3.87,6.32,6.53,40.81
9.05,3.97,2.47,53.37
7.38,3.29,0.67,33.35
4.09,5.22,7.37,49.77
7.4,11.11,8.6,72.03
8.15,7.05,4.35,44.23
7.18,5.89,1.27,41.0
3.81,2.75,6.66,65.07
3.87,11.15,3.32,36.63
3.32,8.09,1.87,31.22
4.64,11.87,5.35,25.58
3.42,2.44,5.08,51.45
8.64,4.99,5.41,60.47
3.11,4.33,8.33,56.4
7.07,4.32,5.1,48.72
8.67,0.88,9.06,85.4
9.26,6.69,8.5,75.86
5.87,7.5,6.69,57.12
7.35,1.04,1.04,39.91
9.66,10.62,8.72,59.39
7.7,2.82,9.1,73.97
9.31,2.2,4.06,62.86
7.79,2.57,5.5,68.22
3.48,5.35,3.17,34.26
4.38,1.45,0.64,20.39
9.58,9.97,5.05,39.25
8.91,8.32,1.73,25.42
5.96,5.93,2.24,44.99
4.13,6.26,5.07,58.13
4.1,5.17,8.74,45.43
9.33,8.73,8.52,71.27
4.16,11.46,9.67,56.15
5.7,6.87,5.09,39.84
9.31,6.98,5.74,67.01
3.23,6.51,8.31,53.63
7.42,10.97,7.15,51.85
5.45,7.81,2.24,28.79
3.75,10.56,4.28,30.24
6.97,7.22,9.33,73.1
6.39,8.53,1.89,32.46
3.69,8.04,2.49,25.75
4.87,5.57,4.31,54.39
8.18,2.08,9.43,76.53
8.29,5.35,1.58,38.78
7.19,10.53,6.89,52.12
3.77,8.04,1.76,34.84
8.97,11.35,5.48,50.5
4.21,3.71,5.6,50.06
8.05,5.93,0.9,29.22
3.3,9.05,9.56,73.12
5.32,2.02,8.16,72.25
6.35,1.63,3.38,50.99
3.2,9.16,1.74,27.7
4.2,8.15,3.78,32.73
5.23,6.03,9.0,75.34
9.88,1.27,1.76,58.59
8.46,7.72,3.82,63.74
8.88,8.19,5.2,56.62
7.67,3.96,0.81,38.69
5.05,1.53,3.05,39.12
7.97,6.3,6.16,50.09
7.72,6.09,3.58,29.03
7.27,3.89,8.77,61.96
5.09,6.98,9.4,59.17
4.84,7.5,4.69,33.55
5.35,11.11,5.55,41.09
5.19,9.4,6.49,59.96
3.54,9.81,6.81,51.06
8.62,2.64,1.1,42.81
5.58,5.77,1.01,35.81
7.95,2.89,8.72,77.21
4.96,2.65,2.59,42.28
7.21,6.31,6.05,44.03
3.24,3.72,6.43,53.5
3.74,2.97,2.06,41.22
5.55,8.85,7.74,50.26
4.88,0.89,8.73,64.8
5.47,9.15,3.21,32.62
9.51,10.83,8.84,64.93
3.52,8.6,1.27,28.97
6.24,2.72,8.1,67.27
4.39,8.96,6.58,35.96
5.49,6.27,6.04,64.24
7.74,7.84,2.69,51.63
9.81,5.02,3.94,48.87
7.86,2.69,9.15,89.33
9.19,0.76,4.92,62.08
4.03,9.02,6.15,42.74
4.27,5.41,9.39,60.35
9.14,3.28,4.93,56.24
7.25,7.66,4.19,40.51
8.54,9.61,8.99,58.24
4.56,6.58,9.15,44.25
5.44,9.26,3.87,27.87
3.57,4.39,6.12,47.65
9.27,8.01,9.66,76.18
9.69,7.58,1.03,38.18
9.0,2.49,0.88,49.51
6.06,8.99,5.41,49.12
5.39,9.24,3.27,47.36
6.24,8.05,6.03,61.98
7.46,4.86,7.38,65.75
6.02,6.78,1.16,35.12
5.95,5.54,8.88,66.92
6.02,0.53,3.13,41.07
8.21,0.63,4.12,54.17
8.51,2.76,3.7,47.26
9.09,11.0,8.48,67.32
4.7,7.76,2.12,25.91
4.1,4.98,0.77,21.57
5.42,7.48,9.73,57.43
5.94,1.23,9.82,82.33
7.91,1.7,2.95,45.59
8.31,1.43,0.59,52.88
9.89,9.9,6.64,64.01
5.65,12.0,6.66,38.32
5.82,3.07,9.43,61.7
6.79,6.05,3.34,47.74
8.74,2.03,2.3,56.31
7.63,10.64,6.36,56.61
7.01,2.29,5.85,65.55
7.54,6.54,7.32,66.91
6.25,7.19,8.91,53.43
8.31,6.03,5.82,56.4
3.53,1.2,1.93,35.08
6.56,8.38,6.18,42.47
8.65,10.69,4.05,55.32
5.12,1.54,4.8,63.21
8.9,8.87,9.62,82.25
8.48,9.94,5.77,53.81
7.06,2.38,1.92,56.84
4.77,11.93,4.71,28.78
9.03,3.93,2.67,65.03
3.21,4.06,1.79,37.52
7.15,7.02,7.27,51.42
8.48,9.92,6.47,58.53
6.4,5.77,5.23,55.15
3.72,6.78,4.52,49.59
8.84,7.6,3.56,32.9
9.36,9.61,1.34,36.22
6.94,7.94,3.34,50.25
8.51,2.45,8.46,70.91
7.28,7.4,7.94,77.74
7.01,2.95,9.74,81.3
3.92,5.51,6.73,61.62
6.06,10.46,5.76,56.81
7.75,1.92,3.31,43.57
6.18,4.66,1.23,32.13
7.32,6.96,6.37,47.86
9.26,10.51,5.14,42.35
5.56,9.46,7.71,48.74
8.8,5.38,4.41,60.83
3.2,6.24,9.86,62.49
8.97,10.23,4.28,41.89
3.75,10.59,3.66,27.17
5.25,6.58,8.77,55.33
6.59,2.79,4.26,41.22
7.55,6.23,8.77,62.25
9.67,11.16,0.76,40.0
5.15,7.52,7.08,45.13
3.6,9.39,1.18,22.17
6.21,0.72,1.91,35.08
5.42,7.8,7.15,57.88
7.2,7.38,3.25,34.53
9.46,5.93,2.5,48.03
7.5,8.31,8.11,62.26
7.05,10.43,9.49,62.26
4.72,11.19,2.71,28.21
4.85,3.45,3.51,48.93
6.05,6.31,7.28,42.71
9.24,3.97,8.25,85.44
7.06,5.31,9.99,60.82
6.46,6.24,3.1,39.63
6.8,9.53,5.79,39.98
8.84,11.03,1.77,41.9
7.75,7.25,3.64,35.4
9.49,11.91,0.93,20.16
7.07,7.02,2.5,38.74
4.37,9.77,5.31,47.12
3.13,2.1,2.06,34.99
5.22,0.59,8.95,69.01
3.44,0.81,7.25,58.96
5.85,10.76,0.76,6.56
4.32,1.36,8.83,72.69
5.83,7.55,9.78,56.12
5.79,7.13,5.27,55.26
4.93,9.48,3.49,24.14
7.57,4.1,3.0,55.36
6.03,4.56,1.33,32.62
9.25,4.56,5.17,63.83
3.53,2.44,0.98,43.55
5.87,2.89,5.29,48.03
8.43,2.77,2.9,44.75
6.46,2.18,5.03,67.74
9.76,9.37,4.47,50.63
4.22,7.51,3.4,39.53
5.21,7.05,4.76,31.35
3.81,8.28,5.0,39.36
4.73,4.47,8.42,49.8
7.71,8.9,6.82,67.21
6.41,3.65,4.61,55.04
4.13,9.9,9.1,47.34
6.32,7.58,7.68,59.34
8.93,9.95,1.22,22.24
6.08,1.13,1.96,44.03
3.09,10.2,1.28,20.43
3.38,1.67,3.53,38.53
6.07,8.19,4.64,42.84
7.15,3.12,5.29,57.91
9.21,1.04,8.59,86.52
9.87,3.48,0.67,53.48
9.86,5.14,4.57,55.69
6.91,2.16,4.4,52.25
3.25,1.65,9.5,68.34
4.49,11.93,2.79,12.74
6.04,1.41,1.66,28.03
9.16,2.69,1.85,46.58
3.15,3.41,5.44,59.56
6.57,4.15,4.21,57.51
7.57,2.01,7.66,80.74
5.02,10.16,3.57,25.19
5.21,11.13,1.72,13.49
5.72,6.81,4.18,56.46
4.92,7.02,8.89,57.02
6.06,11.93,4.35,31.25
4.11,10.66,8.42,53.3
4.4,5.19,4.03,35.96
3.26,9.23,3.17,21.96
5.88,3.55,7.86,68.48
7.95,1.1,2.49,57.82
6.54,0.75,2.7,47.13
6.71,6.7,0.97,33.66
6.15,6.25,2.28,32.81
7.09,2.23,4.1,53.93
4.61,10.31,4.3,26.84
4.45,7.2,4.5,40.92
9.59,4.89,5.06,48.81
6.15,6.32,5.93,36.35
8.79,1.62,2.3,56.86
9.42,10.85,6.33,65.89
7.3,3.84,3.7,56.62
5.09,2.51,7.47,52.92
7.76,5.4,5.79,42.83
6.02,3.73,5.77,63.09
9.81,4.04,7.01,60.36
8.68,9.98,3.66,49.39
8.7,6.79,4.58,57.81
7.12,11.22,6.04,47.96
3.06,11.43,4.5,11.82
8.82,11.9,4.72,35.25
3.18,2.01,3.09,49.24
3.86,10.81,3.23,30.81
8.87,3.89,7.14,62.95
4.53,7.74,0.54,21.81
8.89,10.6,1.41,40.4
4.65,1.57,9.51,64.32
8.39,2.25,2.28,40.14
6.8,8.93,4.47,38.18
7.7,4.49,8.57,81.33
8.87,8.03,0.5,21.36
9.89,1.81,9.29,88.46
3.6,11.68,1.01,23.5
7.8,6.26,2.12,35.86
9.71,10.51,0.78,15.61
5.62,8.26,5.44,37.79
5.34,11.44,9.46,69.48
7.76,7.06,8.47,75.92
5.81,4.02,6.58,44.09
4.5,7.56,2.26,26.55
4.13,11.96,8.76,37.6
4.35,9.88,7.67,51.77
7.93,5.73,3.04,51.92
9.43,9.89,8.15,56.71
8.64,8.58,8.83,67.89
6.14,11.3,7.13,41.46
6.7,4.7,1.45,41.18
7.34,0.96,9.85,92.76
7.06,1.49,1.22,33.39
9.78,9.33,6.72,67.28
9.21,8.45,1.55,27.07
3.3,8.93,9.1,51.77
8.85,8.18,3.82,37.08
3.8,5.76,5.36,41.44
7.83,1.28,2.2,53.36
5.0,10.11,5.69,43.71
8.41,2.58,9.42,89.09
3.06,11.88,9.07,55.97
5.68,2.86,1.11,32.44
3.15,1.46,4.09,47.75
9.67,4.82,3.04,59.54
3.11,4.24,5.07,39.75
4.09,11.73,8.42,46.0
6.77,5.04,7.52,61.01
7.52,1.04,3.77,48.21
8.1,11.85,4.14,39.03
4.73,9.54,6.72,57.3
5.11,11.98,2.35,26.45
4.68,4.15,1.48,26.28
4.71,1.85,2.8,42.64
8.47,5.07,1.68,48.4
9.64,2.11,3.84,67.83
7.17,2.19,9.41,78.9
4.1,10.88,1.64,30.44
3.46,11.93,8.27,42.07
4.67,11.94,5.58,26.37
4.24,5.54,6.51,46.32
7.05,3.25,2.12,29.91
7.89,2.48,1.94,54.01
3.03,4.89,2.05,36.98
6.08,7.39,6.84,37.62
7.36,9.05,7.6,69.23
4.35,6.44,9.24,42.45
9.31,10.19,4.28,38.26
6.84,11.08,4.89,27.91
5.42,10.69,4.96,31.52
3.13,4.75,3.06,51.17
6.39,11.43,3.62,41.74
5.35,11.12,8.54,63.87
9.79,5.23,3.77,55.54
5.65,5.35,8.76,66.44
9.45,1.4,3.4,64.47
7.8,11.28,3.73,40.88
3.52,1.52,5.82,45.76
9.53,6.15,1.48,51.21
4.18,8.8,9.26,67.22
6.14,10.62,8.29,62.21
9.46,7.07,6.87,78.67
8.8,8.35,9.89,77.32
6.41,8.67,0.65,22.2
4.45,0.68,4.41,48.39
6.56,11.34,8.65,57.07
6.83,4.64,4.61,41.67
9.98,2.54,0.55,41.19
8.77,5.94,2.0,33.98
9.03,8.94,4.62,53.95
9.9,10.01,6.85,63.69
6.66,8.78,2.05,34.21
7.1,5.1,4.76,56.95
6.18,8.34,0.62,38.73
3.88,5.47,5.04,35.0
6.68,11.85,9.01,48.15
7.08,11.96,6.17,38.47
4.66,3.37,4.69,41.9
8.48,6.06,2.04,52.56
3.87,7.13,2.42,20.26
6.51,7.82,1.23,32.76
7.64,5.49,7.55,46.65
3.38,6.53,1.23,18.98
8.63,6.87,4.15,63.32
5.13,4.96,7.62,61.14
8.02,4.19,7.27,59.36
3.76,7.8,5.99,49.82
7.34,5.58,5.93,65.06
6.9,11.68,1.36,34.03
4.05,4.82,2.16,32.75
7.37,2.75,5.58,62.28
7.84,5.41,3.81,48.02
6.49,8.05,0.68,20.18
7.05,5.58,8.08,60.68
9.21,3.79,6.71,57.7
7.88,6.2,3.59,50.37
9.34,5.64,1.43,42.55
6.87,11.36,6.12,44.2
4.22,0.72,3.81,40.66
4.72,5.04,2.93,46.59
4.23,4.42,7.35,57.14
5.35,3.07,3.62,46.88
6.34,6.78,1.79,28.15
4.79,7.56,5.08,56.92
6.33,0.62,8.37,71.15
5.55,8.28,8.57,72.89
6.89,4.9,8.57,61.66
6.0,11.11,4.5,35.33
6.04,9.05,8.01,45.16
6.43,6.41,8.58,63.34
9.92,11.44,4.87,54.73
6.9,8.41,3.53,31.51
8.06,9.79,7.17,50.6
5.92,11.5,9.09,58.01
5.28,10.74,9.74,72.15
9.42,1.31,3.26,58.23
8.2,2.92,9.58,82.2
7.08,7.74,5.24,57.54
5.36,2.35,3.41,38.88
4.81,5.84,9.89,61.04
4.76,6.02,8.84,66.73
6.53,5.83,7.08,64.71
9.12,9.96,9.0,65.44
9.17,6.13,6.97,73.97
8.21,10.49,4.68,49.57
6.8,9.4,9.51,66.52
4.64,7.89,9.65,58.44
6.35,7.15,3.48,29.99
7.86,3.17,3.87,59.07
7.17,9.33,4.14,49.04
6.6,9.75,8.31,59.79
6.0,6.13,8.02,56.71
8.27,3.03,9.84,86.57
8.9,9.24,4.92,49.97
8.06,9.7,7.5,58.11
9.57,7.02,8.64,71.49
8.46,8.52,2.6,32.89
6.15,9.4,6.4,48.05
7.32,3.85,5.7,49.72
6.53,3.75,7.56,75.21
6.82,8.64,7.11,50.08
9.27,6.39,8.22,78.99
5.11,6.39,3.46,23.43
3.09,11.53,2.56,12.77
7.87,9.69,8.15,60.4
4.27,3.44,3.93,45.85
4.08,5.17,3.23,28.83
9.95,10.05,3.7,52.96
4.87,1.34,1.13,43.01
4.43,4.19,7.84,52.33
4.34,4.41,7.29,43.62
5.89,4.99,5.75,56.37
5.87,3.48,7.3,65.32
7.43,7.88,4.04,55.41
3.73,5.04,3.31,29.87
7.45,6.74,8.69,57.55
6.18,3.63,4.51,46.59
4.45,10.41,2.36,8.72
8.45,2.87,7.62,76.31
6.32,10.59,3.69,36.91
8.02,2.56,2.51,50.83
9.44,4.76,0.76,26.74
5.47,9.46,9.72,50.52
9.29,6.17,4.94,62.67
4.4,3.23,2.04,38.19
4.55,8.13,7.7,50.83
7.65,1.97,8.93,72.05
3.72,2.98,5.52,42.49
6.18,3.45,0.77,35.58
4.5,7.22,3.97,30.17
7.0,6.85,2.81,54.0
8.65,6.47,6.55,59.25
3.3,1.62,5.43,44.37
5.89,9.47,3.88,35.03
8.11,2.02,6.66,67.11
5.4,11.3,6.05,33.3
3.29,1.25,9.11,73.84
7.14,10.62,6.17,55.22
3.84,3.92,5.32,33.41
5.59,8.55,8.32,59.34
9.93,4.33,2.42,52.75
5.79,8.78,2.81,31.0
8.9,6.03,7.94,66.06
9.02,6.56,4.7,51.33
4.84,8.74,4.39,38.12
7.17,2.04,8.93,86.28
9.63,3.56,6.3,57.91
7.24,10.17,8.13,56.61
8.69,9.58,8.19,69.54
6.24,11.89,1.64,19.26
8.04,0.76,6.71,66.03
3.15,2.14,9.55,81.06
8.51,4.38,5.06,63.37
7.7,8.47,7.46,47.3
5.51,4.13,5.88,40.2
5.92,4.48,2.45,49.24
5.29,3.12,2.35,41.91
6.67,10.96,4.62,39.05
3.76,6.8,5.09,53.24
8.91,2.34,5.28,59.71
6.35,7.2,9.57,71.5
3.3,2.33,1.45,38.85
6.87,3.63,4.12,48.81
9.51,8.51,5.39,47.84
3.61,9.22,9.65,50.69
3.86,5.48,5.29,48.47
5.71,2.42,7.87,75.79
8.15,2.93,7.62,58.37
7.23,6.71,5.88,48.25
6.21,7.27,1.74,34.65
9.95,10.49,2.58,27.94
4.3,3.58,2.78,36.54
8.75,7.54,0.87,28.4
3.87,0.53,4.1,54.31
4.26,5.92,6.3,39.3
5.07,5.08,1.87,50.3
9.11,1.88,2.16,47.79
6.11,10.75,7.22,49.62
5.77,1.74,2.11,46.53
6.44,3.55,1.79,31.96
7.42,8.94,9.79,78.68
5.96,2.58,0.64,35.8
9.74,1.38,3.59,61.89
3.95,11.65,0.83,5.29
6.33,3.88,8.46,76.9
5.91,1.2,6.04,68.72
7.85,2.12,0.96,52.23
9.74,3.06,6.35,61.01
5.02,11.52,1.67,15.13
9.69,0.69,5.21,77.61
8.79,9.62,6.86,47.16
8.67,9.48,1.91,40.74
3.51,6.25,5.22,37.63
9.58,11.23,4.85,57.9
8.87,0.65,9.2,74.2
7.79,6.19,9.96,77.19
3.9,3.41,6.72,52.03
5.94,9.26,8.62,44.98
8.88,2.49,6.65,71.59
6.06,10.56,8.82,54.4
6.06,5.16,4.62,47.15
4.89,2.06,6.28,62.24
3.36,0.9,8.53,51.0
6.59,8.43,9.22,59.62
8.42,11.18,0.73,25.31
4.02,11.65,1.49,20.57
9.26,10.55,9.35,86.87
6.89,4.98,5.9,41.67
8.69,10.92,9.91,71.37
7.67,7.9,8.03,48.04
3.94,1.23,8.27,69.53
9.35,2.46,4.17,46.72
8.03,4.93,2.95,38.52
3.25,4.02,6.18,57.49
7.06,4.36,8.85,56.22
6.36,8.95,7.39,49.93
9.01,1.18,4.99,48.77
3.86,7.47,7.66,42.35
7.14,4.37,7.06,58.87
5.17,10.65,9.17,59.99
4.72,1.16,3.0,38.69
3.16,11.67,1.63,20.7
5.33,1.43,4.97,48.77
5.77,5.5,3.93,44.73
6.13,10.36,9.76,62.62
8.14,4.2,0.57,51.98
5.82,10.28,9.37,54.28
4.37,11.58,9.57,50.24
5.79,1.91,0.98,24.82
3.49,5.99,8.95,56.24
9.8,3.15,4.97,57.32
3.46,9.32,7.78,50.73
4.41,1.74,1.25,23.3
6.0,9.41,9.57,56.61
9.53,8.27,6.27,59.27
4.25,7.76,9.04,62.36
5.8,5.49,6.89,68.76
9.93,6.27,5.6,72.52
7.21,1.65,2.14,41.82
7.3,3.6,2.19,49.48
9.82,11.0,4.99,56.53
6.54,5.58,8.77,79.95
3.02,5.13,1.59,38.3
3.22,1.04,9.98,60.34
7.77,10.67,8.82,65.41
4.48,9.16,4.23,49.58
6.35,1.55,2.9,54.43
6.86,2.23,9.26,62.95
7.67,1.92,1.67,40.57
3.59,8.01,3.8,39.19
8.32,2.33,1.3,43.51
9.44,11.94,9.56,75.13
4.79,7.1,6.37,34.13
5.66,10.51,3.69,23.85
8.21,8.9,3.12,51.26
4.74,0.78,4.72,38.3
6.8,5.34,1.37,53.21
7.62,4.66,8.95,83.23
9.15,11.45,5.35,45.82
5.42,4.39,7.39,66.57
6.45,8.41,2.72,19.8
4.29,7.28,5.29,38.37
5.15,8.97,2.51,24.11
3.66,1.2,8.25,63.04
4.38,11.2,7.87,47.4
5.42,11.92,1.91,37.37
5.97,6.88,1.21,37.64
7.95,2.39,8.33,72.73
6.21,10.5,1.54,28.19
3.34,7.94,5.71,49.21
8.29,7.68,5.58,62.13
6.73,10.68,2.43,35.35
9.58,8.91,6.12,58.71
7.45,11.08,5.28,38.51
6.74,11.51,5.34,52.15
5.06,4.47,3.92,47.44
4.66,2.78,8.47,56.85
4.61,4.93,1.3,31.49
5.85,11.63,4.67,27.53
4.2,2.7,2.97,47.44
8.91,7.3,8.56,64.57
8.64,1.47,2.64,41.62
8.1,10.07,7.79,72.9
3.34,8.18,6.31,40.24
3.5,6.5,8.81,65.4
7.45,7.74,6.14,48.07
8.24,1.85,5.79,59.02
3.19,10.41,8.11,58.27
5.03,4.41,5.84,57.27
3.95,2.44,8.52,56.21
4.62,0.67,0.97,16.23
6.63,1.2,5.2,53.03
